geo_code1,geo_code2,geo_name1,geo_name2,lad11cd1,lad11cd2,lad_name1,lad_name2,all,bicycle,foot,car_driver,car_passenger,train,light_rail,bus,taxi,motorbike,other,govtarget_slc,govtarget_sic,govtarget_slw,govtarget_siw,govtarget_sld,govtarget_sid,gendereq_slc,gendereq_sic,gendereq_slw,gendereq_siw,gendereq_sld,gendereq_sid,dutch_slc,dutch_sic,dutch_slw,dutch_siw,dutch_sld,dutch_sid,ebike_slc,ebike_sic,ebike_slw,ebike_siw,ebike_sld,ebike_sid,govtarget_sldeath_heat,govtarget_slvalue_heat,govtarget_sideath_heat,govtarget_sivalue_heat,gendereq_sldeath_heat,gendereq_slvalue_heat,gendereq_sideath_heat,gendereq_sivalue_heat,dutch_sldeath_heat,dutch_slvalue_heat,dutch_sideath_heat,dutch_sivalue_heat,ebike_sldeath_heat,ebike_slvalue_heat,ebike_sideath_heat,ebike_sivalue_heat,govtarget_slco2,govtarget_sico2,gendereq_slco2,gendereq_sico2,dutch_slco2,dutch_sico2,ebike_slco2,ebike_sico2,e_dist_km,rf_dist_km,rq_dist_km,dist_rf_e,dist_rq_rf,rf_avslope_perc,rq_avslope_perc,rf_time_min,rq_time_min
E02002986,E02003043,Bath and North East Somerset 002,Bristol 032,E06000022,E06000023,Bath and North East Somerset,"Bristol, City of",130,6,5,45,6,6,0,61,0,1,0,8.18,2.18,4.91,-0.0863,44.21,-0.791,13.19,7.19,4.81,-0.186,42.34,-2.66,11.05,5.05,4.72,-0.283,43.21,-1.79,26.25,20.25,4.11,-0.886,37.69,-7.31,-0.00462,8565,-0.00122,2258,-0.00602,11172,-0.00262,4865,-0.00622,11547,-0.00282,5240,-0.0106,19662,-0.0072,13355,-1662,-435,-2697,-1470,-2213,-986,-5259,-4032,8.4,10.84,12.33,1.29,1.14,3.15,3.25,50.02,61.55
E02002986,E02003049,Bath and North East Somerset 002,Bristol 038,E06000022,E06000023,Bath and North East Somerset,"Bristol, City of",61,3,3,44,3,0,0,7,0,1,0,4.48,1.48,2.92,-0.0759,42.88,-1.12,5.1,2.1,2.91,-0.0875,42.42,-1.58,10.1,7.1,2.61,-0.392,38.59,-5.41,19.75,16.75,2.11,-0.887,31.28,-12.72,-0.0013,2416,-4.25e-4,789,-0.00127,2360,-3.95e-4,733,-0.00307,5699,-0.0022,4072,-0.00395,7329,-0.00307,5702,-1007,-335,-1142,-470,-2286,-1614,-4471,-3799,4.33,5.87,6.74,1.36,1.15,4,3.77,27.78,35.08
E02002986,E02003106,Bath and North East Somerset 002,South Gloucestershire 017,E06000022,E06000025,Bath and North East Somerset,South Gloucestershire,51,1,0,39,3,5,0,2,0,1,0,1.52,0.517,0,0,38.6,-0.403,1.85,0.846,0,0,38.35,-0.648,1.97,0.965,0,0,38.23,-0.766,6.12,5.12,0,0,34.99,-4.01,-0.00118,2195,-4.01e-4,742,-0.00121,2244,-4.27e-4,791,-0.00154,2852,-7.55e-4,1399,-0.00343,6361,-0.00265,4908,-903,-311,-1093,-501,-1184,-592,-3691,-3099,11.33,15.2,17.89,1.34,1.18,3.08,2.9,69.52,80.13
E02002986,E02003113,Bath and North East Somerset 002,South Gloucestershire 024,E06000022,E06000025,Bath and North East Somerset,South Gloucestershire,54,0,1,44,6,0,0,3,0,0,0,0.603,0.603,0.989,-0.0112,43.51,-0.492,0,0,1,0,44,0,2.33,2.33,0.957,-0.0431,42.1,-1.9,6.86,6.86,0.873,-0.127,38.41,-5.59,-4.28e-4,792,-4.28e-4,792,0,0,0,0,-0.00168,3114,-0.00168,3114,-0.00322,5974,-0.00322,5974,-374,-374,0,0,-1441,-1441,-4250,-4250,11.22,14.96,14.73,1.33,0.985,2.86,3,65.27,69.05
E02002986,E02003119,Bath and North East Somerset 002,South Gloucestershire 030,E06000022,E06000025,Bath and North East Somerset,South Gloucestershire,53,2,0,41,8,0,0,2,0,0,0,3.57,1.57,0,0,39.74,-1.26,2,0,0,0,41,0,9.59,7.59,0,0,34.85,-6.15,16.97,14.97,0,0,28.93,-12.07,-0.00112,2083,-5.02e-4,930,-6.22e-4,1153,0,0,-0.00317,5887,-0.00255,4734,-0.00382,7094,-0.0032,5941,-1023,-458,-565,0,-2799,-2234,-4953,-4388,4.8,7.15,6.24,1.49,0.872,2.92,3.16,29.65,32.72
E02002986,E02003121,Bath and North East Somerset 002,South Gloucestershire 032,E06000022,E06000025,Bath and North East Somerset,South Gloucestershire,70,5,1,54,7,0,0,2,0,1,0,7.17,2.17,0.969,-0.0309,52.21,-1.79,12.5,7.5,1,0,48,-6,14.77,9.77,0.789,-0.211,45.76,-8.24,25.34,20.34,0.638,-0.362,37,-17,-0.00191,3542,-5.17e-4,959,-0.00274,5078,-0.00134,2495,-0.00364,6752,-0.00225,4169,-0.00443,8219,-0.00304,5636,-1533,-474,-2648,-1589,-3241,-2182,-5560,-4501,3.63,5.21,5.06,1.43,0.972,3.5,3.88,24.32,35.57
E02002986,E02006887,Bath and North East Somerset 002,Bristol 054,E06000022,E06000023,Bath and North East Somerset,"Bristol, City of",87,7,2,39,3,9,0,27,0,0,0,8.61,1.61,1.96,-0.0404,38.21,-0.788,12.66,5.66,1.85,-0.145,36.17,-2.83,9.05,2.05,1.95,-0.0472,38.08,-0.92,20.48,13.48,1.67,-0.334,32.5,-6.5,-0.00416,7715,-7.79e-4,1444,-0.00514,9535,-0.00176,3264,-0.00442,8193,-0.00104,1922,-0.00755,14002,-0.00417,7731,-2022,-371,-2986,-1335,-2084,-433,-4720,-3069,7.48,9.28,10.9,1.24,1.18,3.48,3.21,42.72,52.83
E02002987,E02002987,Bath and North East Somerset 003,Bath and North East Somerset 003,E06000022,E06000022,Bath and North East Somerset,Bath and North East Somerset,166,8,61,89,3,2,0,3,0,0,0,13.16,5.16,59.01,-1.99,86.09,-2.91,22.51,14.51,55.4,-5.6,80.83,-8.17,45.16,37.16,46.65,-14.35,68.07,-20.93,62.06,54.06,40.13,-20.87,58.55,-30.45,-1.65e-4,304,-6.47e-5,119,-2.17e-4,402,-1.17e-4,217,-5.44e-4,1007,-4.44e-4,822,7.56e-6,-15,1.08e-4,-200,-335,-131,-574,-370,-1153,-949,-1585,-1381,0,0.892,NA,NA,NA,3.27,NA,NA,NA
E02002987,E02002991,Bath and North East Somerset 003,Bath and North East Somerset 007,E06000022,E06000022,Bath and North East Somerset,Bath and North East Somerset,120,4,6,66,9,12,0,19,0,3,1,5.96,1.96,5.9,-0.102,64.89,-1.11,8.85,4.85,5.74,-0.262,63.34,-2.66,9.39,5.39,5.73,-0.27,62.86,-3.14,22.52,18.52,5.05,-0.95,55.4,-10.6,-0.00356,6612,-0.00117,2178,-0.00425,7893,-0.0018600000000000001,3459,-0.00554,10283,-0.00315,5849,-0.0093,17259,-0.00691,12825,-1970,-662,-2893,-1585,-3175,-1867,-7615,-6307,9.05,11.7,11.96,1.29,1.02,2.89,2.83,51.58,54.52
E02002987,E02002992,Bath and North East Somerset 003,Bath and North East Somerset 008,E06000022,E06000022,Bath and North East Somerset,Bath and North East Somerset,78,3,2,66,3,0,0,4,0,0,0,4.77,1.77,1.95,-0.0487,64.44,-1.56,10.06,7.06,1.75,-0.251,59.95,-6.05,10.32,7.32,1.86,-0.142,59.42,-6.58,20.98,17.98,1.57,-0.435,50.07,-15.93,-0.00205,3804,-7.73e-4,1434,-0.00324,6010,-0.00196,3640,-0.00452,8380,-0.00324,6010,-0.00624,11570,-0.00496,9200,-1730,-666,-3656,-2592,-3882,-2818,-7891,-6827,6.86,8.42,9.2,1.23,1.09,3.22,2.97,37.75,39.6
